idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,2362382576512,2362.382576512,LAE,0
1,2362508566464,2362.508566464,MAE,194
2,2362634562496,2362.634562496,SAE,111
3,2362758273504,2362.758273504,MAE,166
4,2362882650976,2362.882650976,LAE,132
5,2363008538656,2363.008538656,MAE,159
6,2363134148768,2363.134148768,SAE,93
7,2363259210272,2363.259210272,MAE,73
8,2363382436640,2363.38243664,LAE,56
9,2363508830240,2363.50883024,MAE,62
10,2363634376640,2363.63437664,SAE,70
11,2363758687680,2363.75868768,MAE,59
12,2363883133408,2363.883133408,LAE,42
13,2364008602784,2364.0086027840002,MAE,60
14,2364135765664,2364.1357656640002,SAE,38
15,2364258639136,2364.258639136,MAE,61
16,2364382834976,2364.382834976,LAE,78
17,2364508945312,2364.508945312,MAE,100
18,2364635580000,2364.63558,SAE,67
19,2364759521408,2364.759521408,MAE,97
20,2364882785376,2364.8827853760004,LAE,270
21,2365008803488,2365.008803488,MAE,341
22,2365136437344,2365.136437344,SAE,336
23,2365261600576,2365.261600576,MAE,568
24,2365386546368,2365.386546368,LAE,384
25,2365511476288,2365.5114762880003,MAE,291
26,2365639098400,2365.6390984,SAE,261
27,2365761483904,2365.761483904,MAE,472
28,2365886427584,2365.886427584,LAE,363
29,2366011656416,2366.0116564160003,MAE,407
30,2366136777120,2366.1367771200003,SAE,306
31,2366261688800,2366.2616888000002,MAE,305
32,2366386539808,2366.386539808,LAE,279
33,2366511710944,2366.5117109440002,MAE,310
34,2366636842656,2366.636842656,SAE,294
35,2366761856672,2366.7618566720002,MAE,314
36,2366886706304,2366.886706304,LAE,246
37,2367011390880,2367.0113908800004,MAE,215
38,2367137196224,2367.137196224,SAE,199
39,2367261656928,2367.2616569280003,MAE,310
40,2367386732544,2367.386732544,LAE,262
41,2367511731552,2367.511731552,MAE,212
42,2367636298016,2367.636298016,SAE,179
43,2367761464032,2367.7614640320003,MAE,308
44,2367887342656,2367.8873426560003,LAE,312
45,2368011828416,2368.0118284160003,MAE,204
46,2368136524864,2368.136524864,SAE,154
47,2368262309440,2368.26230944,MAE,266
48,2368386504192,2368.3865041920003,LAE,314
49,2368512353632,2368.512353632,MAE,285
50,2368637042368,2368.637042368,SAE,189
51,2368762096768,2368.762096768,MAE,222
52,2368886467840,2368.88646784,LAE,334
53,2369011733568,2369.011733568,MAE,238
54,2369136900320,2369.13690032,SAE,121
55,2369261536928,2369.261536928,MAE,230
56,2369386785824,2369.386785824,LAE,178
57,2369511769088,2369.511769088,MAE,256
58,2369638102976,2369.638102976,SAE,42
59,2369761568320,2369.76156832,MAE,86
60,2369886326240,2369.88632624,LAE,79
61,2370011467264,2370.011467264,MAE,67
62,2370136881184,2370.1368811840002,SAE,38
63,2370261679552,2370.2616795520003,MAE,64
64,2370386320736,2370.386320736,LAE,20
65,2370511593952,2370.511593952,MAE,78
66,2370636589216,2370.636589216,SAE,34
67,2370762247104,2370.762247104,MAE,53
68,2370886114656,2370.8861146560002,LAE,56
69,2371011567392,2371.011567392,MAE,110
70,2371138605792,2371.1386057920004,SAE,66
71,2371261857664,2371.261857664,SAE,86
72,2371389934016,2371.389934016,LAE,29
73,2371511022080,2371.51102208,MAE,158
74,2371638288896,2371.638288896,SAE,88
75,2371761327936,2371.7613279360003,MAE,91
76,2371884851488,2371.884851488,LAE,114
77,2372011140000,2372.01114,SAE,78
78,2372137081664,2372.137081664,SAE,118
79,2372261220192,2372.261220192,MAE,133
80,2372383653472,2372.3836534720003,LAE,130
81,2372510763584,2372.510763584,MAE,186
82,2372638838464,2372.638838464,SAE,118
83,2372760841760,2372.76084176,MAE,169
84,2372884387840,2372.8843878400003,LAE,137
85,2373011588800,2373.0115888,MAE,117
86,2373136647552,2373.1366475520003,SAE,85
87,2373261133600,2373.2611336,MAE,104
88,2373383705664,2373.383705664,LAE,128
89,2373510790816,2373.5107908160003,MAE,159
90,2373636758336,2373.636758336,SAE,108
91,2373761064608,2373.761064608,MAE,144
92,2373883796352,2373.883796352,LAE,114
93,2374011443840,2374.01144384,MAE,132
94,2374136159104,2374.136159104,SAE,79
95,2374261643552,2374.2616435520004,SAE,109
96,2374384399168,2374.384399168,LAE,66
97,2374512161088,2374.512161088,MAE,152
98,2374636580032,2374.636580032,SAE,63
99,2374761964704,2374.761964704,SAE,118
100,2374883466176,2374.883466176,LAE,65
101,2375011603040,2375.01160304,MAE,142
102,2375136731264,2375.136731264,SAE,89
103,2375261581536,2375.261581536,SAE,135
104,2375383578944,2375.383578944,LAE,81
105,2375511620640,2375.5116206400003,MAE,156
106,2375636628704,2375.636628704,SAE,96
107,2375761693984,2375.761693984,SAE,164
108,2375883784544,2375.8837845440003,LAE,131
109,2376011396640,2376.01139664,MAE,248
110,2376136642400,2376.1366424000003,SAE,126
111,2376261851424,2376.2618514240003,SAE,222
112,2376383271744,2376.383271744,LAE,181
113,2376511624192,2376.511624192,MAE,286
114,2376636880928,2376.636880928,SAE,190
115,2376761525248,2376.761525248,SAE,225
116,2376882744384,2376.882744384,LAE,251
117,2377011174240,2377.01117424,MAE,292
118,2377136712992,2377.136712992,SAE,224
119,2377262326624,2377.2623266240003,SAE,237
120,2377382791776,2377.382791776,LAE,280
121,2377511649088,2377.511649088,MAE,307
122,2377636579776,2377.636579776,SAE,242
