idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,1645437941408,1645.4379414080001,MAE,0
1,1645536923008,1645.536923008,SAE,80
2,1645637758784,1645.6377587840002,MAE,204
3,1645738192544,1645.7381925440002,LAE,115
4,1645838327328,1645.838327328,MAE,147
5,1645936645056,1645.936645056,SAE,318
6,1646037976480,1646.03797648,MAE,199
7,1646137870720,1646.1378707200001,LAE,199
8,1646238435744,1646.238435744,MAE,184
9,1646336686240,1646.33668624,SAE,243
10,1646438363424,1646.438363424,MAE,155
11,1646538305472,1646.538305472,LAE,156
12,1646638188672,1646.638188672,MAE,123
13,1646736483552,1646.7364835520002,SAE,215
14,1646838343168,1646.8383431680002,MAE,134
15,1646938450432,1646.938450432,LAE,132
16,1647038458240,1647.0384582400002,MAE,168
17,1647136406080,1647.1364060800001,SAE,214
18,1647238248704,1647.2382487040002,MAE,129
19,1647338143296,1647.338143296,LAE,90
20,1647439216736,1647.4392167360002,MAE,95
21,1647536518080,1647.5365180800002,SAE,132
22,1647638296160,1647.6382961600002,MAE,97
23,1647738691648,1647.7386916480002,LAE,43
24,1647837966752,1647.837966752,MAE,95
25,1647936324864,1647.9363248640002,SAE,120
26,1648038692768,1648.0386927680001,MAE,70
27,1648138322912,1648.1383229120001,LAE,59
28,1648238282944,1648.238282944,MAE,68
29,1648336531616,1648.336531616,SAE,118
30,1648437807776,1648.437807776,MAE,54
31,1648539063744,1648.539063744,LAE,30
32,1648638327680,1648.6383276800002,MAE,81
33,1648736724960,1648.7367249600002,SAE,131
34,1648837687040,1648.83768704,MAE,76
35,1648938065760,1648.9380657600002,LAE,39
36,1649038233408,1649.038233408,MAE,53
37,1649136864288,1649.1368642880002,SAE,114
38,1649238236064,1649.2382360640001,MAE,82
39,1649339347328,1649.339347328,LAE,43
40,1649437802912,1649.437802912,MAE,60
41,1649536483904,1649.536483904,SAE,87
42,1649638092512,1649.6380925120002,MAE,95
43,1649737933536,1649.7379335360001,LAE,26
44,1649838282080,1649.83828208,MAE,61
