landmark_id,first_frame_idx,last_frame_idx,slots_seen,creation_depth_m
0,0,1,LAE|MAE,12.983353753812098
1,0,11,LAE|MAE,43.03632569168517
2,0,1,LAE|MAE,12.462069143616034
3,0,1,LAE|MAE,22.019067159437903
4,0,7,LAE|MAE,18.664958881359087
5,0,3,LAE|MAE,15.527643977232223
6,0,1,LAE|MAE,11.822301081441525
7,0,6,LAE|MAE,12.635796264083968
8,0,1,LAE|MAE,13.280967656550839
9,0,1,LAE|MAE,14.768992379608653
10,0,6,LAE|MAE,13.791020621747398
11,0,2,LAE|MAE,17.039009988111754
12,0,7,LAE|MAE,13.986174996901177
13,0,2,LAE|MAE,13.312125195370223
14,1,2,MAE,12.517099308923164
15,1,7,LAE|MAE,14.81300989918047
16,1,3,LAE|MAE,9.813010360641035
17,1,5,MAE,13.44587542949048
18,1,5,MAE,14.432269841995277
19,1,4,LAE|MAE,13.670134330373129
20,1,2,MAE,20.18122549128559
21,1,2,MAE,17.649902724706653
22,1,7,MAE,15.113200145581706
23,1,3,LAE|MAE,10.467096603520467
24,1,2,MAE,8.459219919043322
25,1,2,MAE,19.054589729089262
26,1,2,MAE,18.217667158990746
27,1,2,MAE,16.671138562217028
28,1,4,MAE,15.12764289560307
29,1,2,MAE,10.778105536084757
30,1,2,MAE,9.623187345545114
31,1,2,MAE,16.021059320520248
32,1,2,MAE,11.779822062574421
33,1,3,LAE|MAE,14.228497307560897
34,1,2,MAE,19.422813408542627
35,1,2,MAE,18.193741506489133
36,1,4,LAE|MAE,15.825602331258713
37,0,3,LAE,9.941500926685837
38,0,3,LAE,14.354329852821808
39,0,3,LAE,15.008283879870238
40,1,5,LAE|MAE,14.542998742676275
41,1,4,LAE|MAE,15.321808257417468
42,1,3,LAE|MAE,12.633525912499525
43,2,3,LAE|MAE,13.270258035555413
44,2,4,LAE|MAE,12.979791520839942
45,2,15,LAE|MAE|SAE,28.298228293555887
46,0,4,LAE|MAE,15.933978700176961
47,1,5,MAE,32.10642440562488
48,1,6,LAE|MAE,13.341814332088404
49,1,4,MAE,14.606765620383827
50,1,4,MAE,15.201960555665096
51,1,5,MAE,14.30525680209946
52,2,4,MAE,13.730813417954723
53,2,4,MAE,11.468481942866463
54,2,4,MAE,11.141853388829698
55,2,5,MAE,15.805846721907919
56,2,4,MAE,17.80094191244698
57,2,4,MAE,12.280047644679803
58,2,5,MAE,11.568727932141469
59,2,11,LAE|MAE,31.992499319761848
60,2,5,MAE,15.821142656077832
61,2,5,MAE,11.40071734009184
62,2,4,MAE,12.339538707454796
63,2,4,MAE,12.137114836034351
64,2,4,MAE,17.808728466948242
65,2,7,MAE,11.985684253994584
66,2,4,MAE,17.8214714004736
67,3,4,LAE|MAE,10.914536490803307
68,3,5,LAE|MAE,17.463354935886784
69,3,6,LAE|MAE,11.323237891453033
70,3,4,LAE|MAE,11.18133395360241
71,3,4,LAE|MAE,16.80547645698883
72,3,4,LAE|MAE,11.11482335998355
73,3,4,LAE|MAE,8.615537993769491
74,1,5,MAE,12.816632156793556
75,1,5,MAE,12.361685229010371
76,2,5,MAE,13.556109714332338
77,2,5,MAE,12.765312926927722
78,2,5,MAE,18.88854605045113
79,2,5,MAE,12.986479342217685
80,2,5,MAE,11.79865901481181
81,3,7,LAE|MAE,11.6413617887598
82,3,5,LAE|MAE,14.485017441187132
83,4,7,LAE|MAE,10.57822337030944
84,4,5,MAE,11.301286316840624
85,4,5,MAE,10.958918535706815
86,4,5,MAE,14.157389733040397
87,4,5,MAE,12.44200325670675
88,4,6,LAE|MAE,6.905213918994048
89,4,5,MAE,10.983906382842502
90,4,5,MAE,10.667746440468248
91,4,5,MAE,11.403020085385801
92,4,5,MAE,10.587539404605232
93,4,5,MAE,12.31632064963316
94,4,8,MAE,11.119804869575447
95,4,7,LAE|MAE,10.069021938303285
96,2,6,LAE|MAE,13.256873333334068
97,3,6,LAE,11.573242130469808
98,3,6,LAE,16.642452660170907
99,4,6,LAE|MAE,10.111257277463375
100,5,7,LAE|MAE,8.769122636020487
101,5,7,LAE|MAE,8.409278146024677
102,5,7,LAE|MAE,9.485926641923871
103,5,8,LAE|MAE,11.65811230967898
104,5,6,LAE|MAE,8.648895211798862
105,5,7,LAE|MAE,8.138547268779135
106,5,6,LAE|MAE,8.253980594663664
107,5,6,LAE|MAE,9.412302307388828
108,5,7,LAE|MAE,8.436574641623466
109,5,7,LAE|MAE,9.455365480760806
110,5,6,LAE|MAE,8.73294845737853
111,5,7,LAE|MAE,16.02076539771692
112,4,7,MAE,12.272400724529385
113,4,7,MAE,11.131546215233431
114,4,7,MAE,11.327929318880543
115,5,7,MAE,9.51411486120204
116,5,7,MAE,9.231876982126415
117,5,7,MAE,8.781594852592406
118,5,7,MAE,7.027782907641424
119,5,7,MAE,10.191202455221902
120,5,7,MAE,7.010438190252675
121,5,7,MAE,9.76573171584849
122,5,7,MAE,8.547660157551558
123,5,7,MAE,8.559345743098769
124,5,7,MAE,8.408826568572138
125,5,13,LAE|MAE,34.90041478483875
126,5,7,MAE,9.205205360793967
127,5,14,MAE|SAE,23.24109094215622
128,5,7,MAE,8.636253274564355
129,5,7,MAE,8.631664754747813
130,5,7,MAE,7.978339271155322
131,5,7,MAE,9.251830543223585
132,5,7,MAE,6.062745958311223
133,6,7,LAE|MAE,7.652812736163014
134,6,7,LAE|MAE,7.395874660130525
135,6,7,LAE|MAE,8.751561547344668
136,6,8,LAE|MAE,8.32563158001302
137,6,8,LAE|MAE,8.133852155151668
138,6,8,LAE|MAE,8.58642704387803
139,7,8,MAE,5.8858417829675815
140,7,8,MAE,5.105452583364723
141,7,10,MAE,7.237671114273601
142,7,8,MAE,7.6330027850378555
143,7,8,MAE,11.61184483537421
144,7,8,MAE,7.31446341327302
145,7,8,MAE,7.497575791268801
146,7,8,MAE,7.506731067391762
147,6,11,LAE|MAE,11.535829540090662
148,8,9,LAE|MAE,5.052743822617088
149,8,9,LAE|MAE,5.125462843296911
150,8,10,LAE|MAE,5.069619928680237
151,8,9,LAE|MAE,4.963163201516268
