idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,1325761694112,1325.761694112,LAE,0
1,1326016585504,1326.016585504,MAE,0
2,1326515949472,1326.515949472,MAE,344
3,1326761952320,1326.76195232,LAE,120
4,1327016197760,1327.01619776,MAE,204
5,1327515871520,1327.51587152,MAE,252
6,1327761718208,1327.761718208,LAE,13
7,1328015908512,1328.0159085120001,MAE,228
8,1328516533504,1328.516533504,MAE,120
9,1328762001728,1328.762001728,LAE,91
10,1329016249248,1329.0162492480001,MAE,153
11,1329516211936,1329.516211936,MAE,107
12,1330016151072,1330.0161510720002,MAE,80
13,1330266187104,1330.266187104,SAE,80
14,1330516237120,1330.5162371200001,MAE,129
15,1331016048512,1331.016048512,MAE,122
16,1331265818592,1331.2658185920002,SAE,43
17,1331516230592,1331.516230592,MAE,127
18,1331761607072,1331.761607072,LAE,28
19,1332015899552,1332.015899552,MAE,151
20,1332266074272,1332.2660742720002,SAE,37
21,1332515951200,1332.5159512,MAE,163
22,1332761595264,1332.761595264,LAE,77
23,1333015944224,1333.0159442240001,MAE,79
24,1333516308576,1333.516308576,MAE,54
25,1333761868960,1333.7618689600001,LAE,31
26,1334015765344,1334.015765344,MAE,25
27,1334515876192,1334.5158761920002,MAE,28
28,1334761558048,1334.761558048,LAE,15
29,1335015902080,1335.0159020800002,MAE,25
30,1335516103136,1335.516103136,MAE,17
31,1335761626304,1335.7616263040002,LAE,37
32,1336016323872,1336.0163238720002,MAE,10
33,1336515853664,1336.5158536640001,MAE,14
34,1336762076768,1336.762076768,LAE,17
35,1337015865696,1337.015865696,MAE,17
36,1337516128736,1337.5161287360002,MAE,17
37,1337761979744,1337.761979744,LAE,21
38,1338016001248,1338.016001248,MAE,17
39,1338515828928,1338.515828928,MAE,45
40,1338762001568,1338.7620015680002,LAE,57
41,1339016096832,1339.0160968320001,MAE,93
42,1339515978208,1339.515978208,MAE,204
43,1339762103360,1339.76210336,LAE,253
44,1340016193056,1340.016193056,MAE,262
45,1340515893888,1340.5158938880002,MAE,252
46,1340761728992,1340.7617289920001,LAE,238
