idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,754655562688,754.655562688,LAE,0
1,754907158880,754.90715888,MAE,326
2,755159377632,755.1593776320001,SAE,115
3,755407196448,755.407196448,MAE,204
4,755656080864,755.656080864,LAE,184
5,755907386912,755.907386912,MAE,184
6,756159518976,756.1595189760001,SAE,99
7,756407745920,756.40774592,MAE,139
8,756655779296,756.655779296,LAE,129
9,756907393920,756.90739392,MAE,123
10,757159266144,757.1592661440001,SAE,78
11,757406699488,757.4066994880001,MAE,95
12,757656238240,757.65623824,LAE,72
13,757907478112,757.907478112,MAE,105
14,758159601856,758.159601856,SAE,77
15,758407312672,758.4073126720001,MAE,93
16,758655568448,758.655568448,LAE,85
17,758907997504,758.907997504,MAE,123
18,759159861376,759.1598613760001,SAE,62
19,759409166208,759.4091662080001,MAE,59
20,759655706016,759.6557060160001,LAE,89
21,759908896320,759.90889632,MAE,129
22,760159220992,760.1592209920001,SAE,172
23,760409216608,760.4092166080001,MAE,226
24,760658399008,760.6583990080001,LAE,184
25,760909442432,760.909442432,MAE,137
26,761159267712,761.1592677120001,SAE,245
27,761409283008,761.4092830080001,MAE,252
28,761658981376,761.658981376,LAE,206
29,761909321632,761.909321632,MAE,72
30,762159271424,762.159271424,SAE,77
31,762409224096,762.409224096,MAE,116
32,762659164416,762.6591644160001,LAE,196
33,762909443328,762.9094433280001,MAE,83
34,763409375680,763.40937568,MAE,35
35,763659387680,763.65938768,LAE,90
36,763909521760,763.9095217600001,MAE,143
37,764409233984,764.409233984,MAE,136
38,764658362976,764.658362976,LAE,109
39,764909011232,764.909011232,MAE,161
40,765159174944,765.159174944,SAE,126
41,765409227136,765.409227136,SAE,96
42,765657116384,765.657116384,LAE,47
43,765908207424,765.908207424,MAE,179
44,766159414912,766.1594149120001,SAE,87
45,766408012000,766.4080120000001,MAE,106
46,766656584992,766.656584992,LAE,96
47,766907754912,766.9077549120001,MAE,148
48,767159171008,767.159171008,SAE,93
49,767407028736,767.407028736,MAE,74
50,767656520064,767.656520064,LAE,92
51,767907326240,767.9073262400001,MAE,145
52,768159480448,768.1594804480001,SAE,119
53,768407360608,768.4073606080001,SAE,159
54,768655764640,768.65576464,LAE,0
