idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,2133397255104,2133.397255104,MAE,0
1,2133646013760,2133.64601376,LAE,332
2,2133897250432,2133.897250432,MAE,340
3,2134149398176,2134.149398176,SAE,124
4,2134396198912,2134.3961989120003,MAE,270
5,2134646117536,2134.646117536,LAE,159
6,2134896924896,2134.896924896,MAE,98
7,2135149605472,2135.149605472,SAE,8
8,2135396889280,2135.3968892800003,MAE,50
9,2135645746848,2135.6457468480003,LAE,35
10,2135897000864,2135.8970008640003,MAE,44
11,2136149268384,2136.149268384,SAE,18
12,2136397146368,2136.397146368,MAE,28
13,2136646418080,2136.6464180800003,LAE,18
14,2136897378016,2136.897378016,LAE,48
15,2137150582464,2137.1505824640003,SAE,24
16,2137400493568,2137.400493568,MAE,195
17,2137651126016,2137.651126016,LAE,106
18,2137901020320,2137.90102032,MAE,123
19,2138150823936,2138.150823936,SAE,87
20,2138401397376,2138.401397376,MAE,120
21,2138650210144,2138.650210144,LAE,55
22,2138900398400,2138.9003984,MAE,77
23,2139152038656,2139.152038656,SAE,132
24,2139401953408,2139.4019534080003,MAE,178
25,2139651532096,2139.651532096,LAE,24
26,2139900605248,2139.900605248,MAE,19
27,2140150565888,2140.150565888,SAE,36
28,2140400119680,2140.40011968,MAE,59
29,2140651122592,2140.6511225920003,LAE,82
30,2140901657760,2140.90165776,MAE,14
31,2141400495008,2141.4004950080002,MAE,18
32,2141650534944,2141.6505349440004,LAE,6
33,2141901053376,2141.901053376,MAE,12
34,2142151028256,2142.1510282560002,SAE,18
35,2142401093408,2142.401093408,MAE,9
36,2142650518304,2142.6505183040003,LAE,27
37,2142900545312,2142.9005453120003,MAE,42
38,2143150502112,2143.150502112,SAE,27
39,2143400450528,2143.400450528,MAE,64
40,2143649924928,2143.649924928,LAE,53
41,2143901011232,2143.901011232,MAE,48
42,2144150866848,2144.150866848,SAE,21
43,2144400851616,2144.400851616,SAE,41
44,2144648175264,2144.648175264,LAE,22
45,2144900245152,2144.900245152,SAE,18
46,2145151087136,2145.151087136,SAE,47
47,2145400088384,2145.4000883840004,MAE,56
48,2145647808032,2145.6478080320003,LAE,51
49,2145900048352,2145.9000483520003,SAE,38
50,2146150577344,2146.1505773440003,SAE,54
51,2146402643136,2146.4026431360003,MAE,142
52,2146647454848,2146.647454848,LAE,131
53,2146900856224,2146.900856224,SAE,131
54,2147150593472,2147.1505934720003,SAE,176
55,2147401217664,2147.4012176640003,SAE,267
56,2147646465920,2147.64646592,LAE,100
57,2147900930784,2147.900930784,MAE,306
58,2148150277888,2148.1502778880003,SAE,200
