idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,1739492138176,1739.492138176,MAE,0
1,1739519430880,1739.51943088,MAE,302
2,1739549144256,1739.549144256,MAE,204
3,1739574983456,1739.5749834560002,MAE,198
4,1739604611968,1739.6046119680002,MAE,193
5,1739630929728,1739.6309297280002,MAE,199
6,1739661235360,1739.66123536,MAE,179
7,1739686868320,1739.68686832,MAE,210
8,1739715586912,1739.7155869120002,MAE,179
9,1739741228480,1739.74122848,MAE,195
10,1739771100448,1739.7711004480002,MAE,188
11,1739797026400,1739.7970264,MAE,199
12,1739825786592,1739.8257865920002,MAE,185
13,1739851532256,1739.8515322560002,MAE,192
14,1739877246080,1739.87724608,MAE,206
15,1739902905216,1739.9029052160001,MAE,206
16,1739933329440,1739.93332944,MAE,177
17,1739962385536,1739.962385536,MAE,190
18,1739991491040,1739.99149104,MAE,180
19,1740020671008,1740.0206710080001,MAE,190
20,1740049457696,1740.0494576960002,MAE,183
21,1740077187424,1740.0771874240002,MAE,184
22,1740105857376,1740.1058573760001,MAE,190
23,1740134786656,1740.1347866560002,MAE,186
24,1740163280192,1740.163280192,MAE,185
25,1740192016736,1740.1920167360001,MAE,193
26,1740221493952,1740.2214939520002,MAE,186
27,1740250618336,1740.2506183360001,MAE,192
28,1740279075456,1740.279075456,MAE,204
29,1740304944960,1740.30494496,MAE,188
30,1740336749216,1740.336749216,MAE,182
31,1740365422976,1740.3654229760002,MAE,168
32,1740394088288,1740.3940882880001,MAE,182
33,1740422611264,1740.4226112640001,MAE,186
34,1740453112032,1740.453112032,MAE,179
35,1740481856576,1740.4818565760002,MAE,191
36,1740510796896,1740.510796896,MAE,181
37,1740538134336,1740.5381343360002,MAE,200
38,1740567963584,1740.5679635840002,MAE,183
39,1740597033248,1740.5970332480001,MAE,185
40,1740622796160,1740.62279616,MAE,181
41,1740651547040,1740.6515470400002,MAE,183
42,1740680848320,1740.68084832,MAE,183
43,1740707044320,1740.70704432,MAE,195
44,1740735527104,1740.735527104,MAE,189
45,1740766406528,1740.766406528,MAE,192
46,1740794939392,1740.794939392,MAE,211
47,1740825327648,1740.8253276480002,MAE,191
48,1740858630976,1740.858630976,MAE,188
49,1740887214432,1740.887214432,MAE,206
50,1740916056864,1740.9160568640002,MAE,193
51,1740944759808,1740.944759808,MAE,208
52,1740973492832,1740.9734928320001,MAE,195
53,1741002496864,1741.002496864,MAE,194
54,1741032232800,1741.0322328000002,MAE,209
55,1741061150720,1741.0611507200001,MAE,208
56,1741089821152,1741.089821152,MAE,182
57,1741118762496,1741.118762496,MAE,188
58,1741147732544,1741.147732544,MAE,203
59,1741176770432,1741.176770432,MAE,187
60,1741206785792,1741.2067857920001,MAE,181
61,1741235307616,1741.235307616,MAE,186
62,1741263897984,1741.263897984,MAE,182
63,1741292514784,1741.292514784,MAE,183
