idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,1467016197920,1467.0161979200002,MAE,0
1,1467516133120,1467.5161331200002,MAE,154
2,1467762077888,1467.762077888,LAE,58
3,1468015743360,1468.01574336,MAE,113
4,1468515789536,1468.515789536,MAE,110
5,1468761570720,1468.76157072,LAE,53
6,1469015572320,1469.01557232,MAE,78
7,1469516121888,1469.516121888,MAE,48
8,1469761448768,1469.761448768,LAE,32
9,1470016160384,1470.0161603840002,MAE,45
10,1470516049056,1470.5160490560002,MAE,43
11,1470761935968,1470.761935968,LAE,25
12,1471016118080,1471.01611808,MAE,50
13,1471515845216,1471.5158452160001,MAE,11
14,1471761817792,1471.761817792,LAE,18
15,1472016049152,1472.016049152,MAE,34
16,1472515920704,1472.515920704,MAE,22
17,1473015865728,1473.015865728,MAE,81
18,1473265819584,1473.2658195840002,SAE,152
19,1473515784864,1473.5157848640001,MAE,126
20,1473761687296,1473.761687296,LAE,0
21,1474016215296,1474.0162152960002,MAE,4
22,1474269857856,1474.269857856,SAE,10
23,1474516059456,1474.516059456,MAE,7
24,1474761602336,1474.7616023360001,LAE,46
25,1475015846272,1475.015846272,MAE,7
26,1475265608672,1475.265608672,SAE,6
27,1475516915968,1475.5169159680001,MAE,46
28,1475762142816,1475.762142816,LAE,53
29,1476016293120,1476.01629312,MAE,156
30,1476515796224,1476.515796224,MAE,102
31,1476761898208,1476.761898208,LAE,11
32,1477016085792,1477.016085792,MAE,82
33,1477761592544,1477.761592544,LAE,32
34,1478761865056,1478.761865056,LAE,21
35,1479761794304,1479.7617943040002,LAE,41
36,1480762065504,1480.762065504,LAE,29
37,1481761901440,1481.7619014400002,LAE,43
