idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,1827397512800,1827.3975128000002,MAE,0
1,1827646371968,1827.646371968,LAE,276
2,1827897372128,1827.8973721280001,MAE,147
3,1828150601120,1828.1506011200001,SAE,107
4,1828397068320,1828.39706832,MAE,104
5,1828646302496,1828.646302496,LAE,67
6,1828897246912,1828.8972469120001,MAE,68
7,1829150095232,1829.150095232,SAE,54
8,1829397596256,1829.397596256,MAE,77
9,1829646321440,1829.64632144,LAE,53
10,1829896983040,1829.8969830400001,MAE,155
11,1830149492320,1830.14949232,SAE,212
12,1830396991872,1830.3969918720002,LAE,80
13,1830646376224,1830.646376224,LAE,90
14,1830900207488,1830.9002074880002,MAE,140
15,1831150798560,1831.15079856,SAE,138
16,1831400835872,1831.400835872,MAE,93
17,1831651026560,1831.6510265600002,LAE,139
18,1831900286592,1831.9002865920002,MAE,78
19,1832150336096,1832.150336096,SAE,82
20,1832401239936,1832.4012399360001,MAE,77
21,1832652046624,1832.6520466240001,LAE,59
22,1832900464800,1832.9004648,MAE,113
23,1833150846784,1833.1508467840001,SAE,63
24,1833400274976,1833.4002749760002,MAE,58
25,1833650527008,1833.6505270080002,LAE,95
26,1833900799168,1833.900799168,MAE,107
27,1834150936000,1834.150936,SAE,0
28,1834400311040,1834.4003110400001,MAE,2
29,1834651193024,1834.6511930240001,LAE,3
30,1834900522976,1834.900522976,MAE,0
31,1835151957472,1835.151957472,SAE,0
32,1835400680288,1835.400680288,MAE,0
33,1835650549696,1835.650549696,LAE,0
34,1835900365568,1835.900365568,MAE,0
35,1836150531072,1836.1505310720001,SAE,0
36,1836400412256,1836.4004122560002,MAE,0
37,1836649824896,1836.6498248960002,LAE,2
38,1836900604704,1836.9006047040002,MAE,0
39,1837150696128,1837.1506961280002,SAE,0
40,1837401069024,1837.4010690240002,SAE,0
41,1837648174240,1837.6481742400001,LAE,0
42,1837899419456,1837.899419456,MAE,4
43,1838150255392,1838.1502553920002,SAE,9
44,1838399311968,1838.3993119680001,MAE,8
45,1838647692512,1838.647692512,LAE,2
46,1838899778272,1838.899778272,MAE,9
47,1839150758176,1839.1507581760002,SAE,7
48,1839398378944,1839.3983789440001,MAE,5
49,1839647403808,1839.647403808,LAE,6
50,1839898994432,1839.898994432,MAE,4
51,1840150571808,1840.1505718080002,SAE,0
52,1840398672064,1840.398672064,MAE,4
53,1840646739296,1840.646739296,LAE,28
54,1840899748896,1840.8997488960001,MAE,55
55,1841150414848,1841.150414848,SAE,69
56,1841398250208,1841.398250208,MAE,88
57,1841646323360,1841.6463233600002,LAE,63
58,1841898861760,1841.89886176,MAE,85
59,1842150526208,1842.1505262080002,SAE,98
60,1842398899296,1842.398899296,MAE,106
